athlete_name,season_count,season_unique_days,first_season_date,last_season_date,season_duration_days,season_density_ratio,season_days,rule1_category,mean_season_distance,rule2_adjusted,cluster,cluster_label,final_category
Asahi YADA,1342,325,2024-01-12,2025-10-03,631,0.5150554675118859,325,full,1055.826362928465,partial,0,partial,partial
Bunta INO,1835,470,2023-01-12,2024-11-27,686,0.685131195335277,470,full,1565.4069417820162,full,0,partial,full
Daiki GOTO,645,242,2023-01-12,2023-12-01,324,0.7469135802469136,242,full,1345.3601636899225,full,1,exclude,full
Eboko IKECHUKWU,292,83,2023-08-18,2023-12-02,107,0.7757009345794392,83,full,1636.0532699999999,full,1,exclude,full
Eduard MELO,205,70,2023-08-15,2023-12-01,109,0.6422018348623854,70,full,1732.6499508780487,full,1,exclude,full
Fumiya TAKAYANAGI,780,150,2025-01-11,2025-10-05,268,0.5597014925373134,150,full,978.2401005641026,partial,1,exclude,partial
Futo YOSHIHARA,676,147,2025-01-12,2025-10-02,264,0.5568181818181818,147,full,1024.3145889349112,partial,1,exclude,partial
Haruki IZAWA,2319,564,2023-01-12,2025-10-05,998,0.5651302605210421,564,full,1293.3651882794306,full,0,partial,full
Hiroki MAEDA,1678,436,2023-01-12,2024-11-27,686,0.6355685131195336,436,full,1596.5670301370678,full,0,partial,full
Kaito KONOMI,731,151,2025-01-11,2025-10-05,268,0.5634328358208955,151,full,1008.7899059781122,partial,1,exclude,partial
Kakeru SAKAMOTO,2136,516,2023-01-12,2025-07-08,909,0.5676567656765676,516,full,1441.158267059925,full,0,partial,full
Kaoru YAMAWAKI,2713,613,2023-01-12,2025-10-05,998,0.6142284569138277,613,full,1403.342336428308,full,0,partial,full
Kenshin YOSHIMARU,569,205,2023-01-12,2023-12-01,324,0.6327160493827161,205,full,1518.4959438664323,full,1,exclude,full
Kensuke FUJIWARA,483,106,2024-06-20,2024-11-27,161,0.6583850931677019,106,full,999.0261972877846,partial,1,exclude,partial
Kiriya SAKAMOTO,684,134,2025-01-11,2025-09-28,261,0.5134099616858238,134,full,912.9833701461988,partial,1,exclude,partial
Kohei KIYAMA,1373,314,2024-01-12,2025-10-03,631,0.4976228209191759,314,full,980.5823952002913,partial,0,partial,partial
Koji SUGIYAMA,1776,348,2024-01-12,2025-10-05,633,0.5497630331753555,348,full,1035.8880066722973,partial,0,partial,partial
Koki HASEGAWA,2488,591,2023-01-12,2025-10-05,998,0.5921843687374749,591,full,1415.378787017685,full,0,partial,full
Kota HOSHI,425,113,2025-01-12,2025-10-05,267,0.4232209737827715,113,full,1170.301677364706,partial,1,exclude,partial
